transaction_id,transaction_date,product_id,store_id,quantity,unit_price,discount,total_amount
1,2024-01-02,131,5,5,38303,0,191515
2,2024-01-03,124,4,1,8983,500,8483
3,2024-01-04,120,4,1,40625,500,40125
4,2024-01-05,132,99,1,48616,1000,47616
5,2024-01-06,116,2,5,4568,1000,21840
6,2024-01-07,149,5,2,31232,0,62464
7,2024-01-08,149,4,2,20867,0,41734
8,2024-01-09,122,4,2,45726,1000,90452
9,2024-01-10,125,1,1,8926,1000,7926
10,2024-01-11,117,4,4,10707,0,640
11,2024-01-12,114,4,5,1256,1000,5280
12,2024-01-13,104,5,3,44465,500,132895
13,2024-01-14,118,1,2,12247,1000,23494
14,2024-01-15,102,2,5,19124,1000,94620
15,2024-01-16,126,4,1,37941,0,37941
16,2024-01-17,149,99,1,19597,500,19097
17,2024-01-18,102,4,5,22820,0,114100
18,2024-01-19,133,99,4,52433,500,209232
19,2024-01-20,132,5,1,54882,1000,53882
20,2024-01-21,117,1,1,31834,0,1763
21,2024-01-22,133,4,1,1215,1000,215
22,2024-01-23,109,99,3,2385,0,7155
23,2024-01-24,102,5,2,40957,1000,80914
24,2024-01-25,113,2,5,31179,1000,154895
25,2024-01-26,111,1,3,10718,0,32154
26,2024-01-27,149,1,5,42096,0,210480
27,2024-01-28,109,3,3,32654,0,97962
28,2024-01-29,121,5,2,38856,1000,76712
29,2024-01-30,146,2,2,46019,0,92038
30,2024-01-01,144,99,5,49647,500,3552
31,2024-01-02,117,99,2,856,0,1712
32,2024-01-03,140,3,4,30534,500,121636
33,2024-01-04,150,5,2,42198,1000,83396
34,2024-01-05,136,2,5,53214,1000,265070
35,2024-01-06,125,5,1,17557,0,17557
36,2024-01-07,150,5,3,34848,0,104544
37,2024-01-08,117,4,5,21192,1000,104960
38,2024-01-09,130,4,3,8768,0,26304
39,2024-01-10,105,5,3,43465,500,129895
40,2024-01-11,142,99,5,34244,0,226
41,2024-01-12,139,4,2,37538,500,74576
42,2024-01-13,121,1,2,44538,500,88576
43,2024-01-14,148,3,5,18445,1000,91225
44,2024-01-15,142,3,2,9413,1000,17826
45,2024-01-16,132,99,4,27383,1000,108532
46,2024-01-17,110,1,2,56702,0,113404
47,2024-01-18,138,1,5,47122,0,235610
48,2024-01-19,131,5,4,59070,0,236280
49,2024-01-20,147,2,5,30903,500,154015
50,2024-01-21,120,4,5,6290,1000,4947
51,2024-01-22,141,2,1,46486,0,46486
52,2024-01-23,102,1,2,35785,1000,70570
53,2024-01-24,146,1,5,46724,500,233120
54,2024-01-25,139,5,2,1999,0,3998
55,2024-01-26,130,99,1,33560,1000,32560
56,2024-01-27,103,99,4,28116,0,112464
57,2024-01-28,102,2,5,41478,1000,206390
58,2024-01-29,145,4,2,33404,0,66808
59,2024-01-30,120,5,4,26767,0,107068
60,2024-01-01,137,3,3,19343,0,1684
61,2024-01-02,106,1,2,2073,0,4146
62,2024-01-03,128,2,4,40886,500,163044
63,2024-01-04,145,1,4,34502,500,137508
64,2024-01-05,130,5,4,7469,500,29376
65,2024-01-06,103,1,5,22922,1000,113610
66,2024-01-07,149,99,3,58610,0,175830
67,2024-01-08,140,4,2,12438,0,24876
68,2024-01-09,121,99,5,14531,500,72155
69,2024-01-10,136,3,3,10340,500,30520
70,2024-01-11,103,4,3,6372,500,4252
71,2024-01-12,114,5,5,45155,500,225275
72,2024-01-13,141,5,1,33787,500,33287
73,2024-01-14,133,3,4,12591,0,50364
74,2024-01-15,138,3,4,4160,0,16640
75,2024-01-16,142,2,4,29111,500,115944
76,2024-01-17,108,1,4,34211,1000,135844
77,2024-01-18,113,5,5,30181,1000,149905
78,2024-01-19,105,1,5,27015,1000,134075
79,2024-01-20,136,5,5,13113,500,65065
80,2024-01-21,102,1,1,46485,500,4650
81,2024-01-22,134,3,4,30258,500,120532
82,2024-01-23,110,99,3,34892,500,104176
83,2024-01-24,147,99,2,55242,1000,109484
84,2024-01-25,140,1,2,23904,1000,46808
85,2024-01-26,110,1,5,22882,1000,113410
86,2024-01-27,132,1,1,28132,1000,27132
87,2024-01-28,133,1,2,44240,500,87980
88,2024-01-29,138,1,1,41715,0,41715
89,2024-01-30,137,5,1,14568,0,14568
90,2024-01-01,146,4,4,29278,0,1768
91,2024-01-02,125,2,4,5982,1000,22928
92,2024-01-03,122,2,3,34621,500,103363
93,2024-01-04,118,3,1,17746,500,17246
94,2024-01-05,134,3,1,51487,500,50987
95,2024-01-06,101,5,3,38956,500,116368
96,2024-01-07,108,1,2,50190,1000,99380
97,2024-01-08,109,1,1,12215,500,11715
98,2024-01-09,128,5,2,51215,500,101930
99,2024-01-10,147,4,1,12886,500,12386
100,2024-01-11,113,4,4,2649,0,478
